"","word","Life and Times (1881)","My Bondage (1855)","Narrative Life (1845)","Travel Diary","sum_word_counts"
"99","whip",28,55,29,2,114
"100","ground",65,36,8,4,113
"101","week",37,47,27,2,113
"102","meeting",63,34,12,3,112
"103","president",107,4,1,0,112
"104","half",45,38,23,5,111
"105","knowledge",48,53,9,1,111
"106","party",67,42,0,2,111
"107","soul",29,57,24,1,111
"108","view",41,51,5,14,111
"109","justice",56,49,5,0,110
"110","set",51,41,15,2,109
"111","dear",46,51,8,3,108
"112","speech",66,36,6,0,108
"113","stand",45,46,13,4,108
"114","william",51,44,13,0,108
"115","douglass",49,46,11,1,107
"116","lived",39,36,31,1,107
"117","speak",54,39,11,3,107
"118","woman",34,52,17,4,107
"119","subject",51,50,5,0,106
"120","chapter",18,64,23,0,105
"121","overseer",30,59,16,0,105
"122","presence",52,34,15,4,105
"123","brother",35,50,17,2,104
"124","lloyd’s",32,51,21,0,104
"125","government",78,21,3,1,103
"126","moral",44,52,6,0,102
"127","ship",32,43,15,12,102
"128","system",40,56,6,0,102
"129","common",51,39,9,2,101
"130","religious",32,52,15,2,101
"131","school",47,37,14,3,101
"132","race",73,22,5,0,100
"133","woods",35,47,18,0,100
"134","york",62,29,9,0,100
"135","fellow",43,38,15,3,99
"136","received",54,24,15,6,99
"137","wife",38,45,14,2,99
"138","religion",20,54,18,6,98
"139","strong",53,35,5,5,98
"140","ofthe",97,0,0,0,97
"141","stood",42,36,15,4,97
"142","blow",40,44,12,0,96
"143","light",34,49,10,3,96
"144","mistress",32,46,17,1,96
"145","property",43,43,10,0,96
"146","society",40,48,8,0,96
"147","nation",52,39,3,1,95
"148","natural",40,47,8,0,95
"149","reason",47,39,7,2,95
"150","lincoln",93,0,0,1,94
"151","maryland",36,43,15,0,94
"152","bedford",27,46,19,1,93
"153","easily",47,44,1,1,93
"154","labor",51,37,5,0,93
"155","leave",51,26,11,5,93
"156","frederick",43,31,18,0,92
"157","circumstances",40,40,11,0,91
"158","single",31,45,14,1,91
"159","spent",29,34,11,17,91
"160","cruel",30,41,19,0,90
"161","return",36,37,16,1,90
"162","person",35,41,13,0,89
"163","feel",35,35,14,4,88
"164","respect",53,31,2,2,88
"165","till",44,22,17,5,88
"166","live",38,25,21,3,87
"167","master’s",25,46,16,0,87
"168","color",49,32,1,3,85
"169","father",32,41,12,0,85
"170","purpose",44,26,15,0,85
"171","yard",35,37,13,0,85
"172","body",39,36,7,2,84
"173","cold",41,30,11,2,84
"174","southern",44,34,5,1,84
"175","hear",34,33,12,4,83
"176","love",23,45,13,2,83
"177","persons",38,40,4,1,83
"178","truth",29,41,10,3,83
"179","company",40,29,6,7,82
"180","hour",47,26,6,3,82
"181","occasion",54,23,3,2,82
"182","rights",46,30,6,0,82
"183","learn",31,32,18,0,81
"184","care",33,32,14,1,80
"185","miles",30,27,17,6,80
"186","passed",37,28,12,3,80
"187","peace",53,25,0,2,80
"188","ready",35,24,19,2,80
"189","aunt",32,40,7,0,79
"190","doubt",44,30,5,0,79
"191","effect",43,20,13,3,79
"192","michael’s",1,57,21,0,79
"193","run",27,28,22,2,79
"194","seldom",17,42,20,0,79
"195","slaveholding",33,36,10,0,79
"196","thousand",40,28,2,9,79
"197","allowed",34,32,10,2,78
"198","heavy",32,29,13,4,78
"199","living",34,34,9,1,78
"200","looked",36,28,12,2,78
"201","meet",42,25,9,2,78
"202","regard",26,42,10,0,78
"203","brown",73,3,0,1,77
"204","child",24,44,9,0,77
"205","eyes",35,31,5,6,77
"206","freeland",29,33,15,0,77
"207","write",30,31,15,1,77
"208","bill",33,36,7,0,76
"209","coming",36,29,8,3,76
"210","leaving",24,38,13,1,76
"211","object",39,30,7,0,76
"212","whipped",22,32,22,0,76
"213","broken",36,31,5,3,75
"214","months",33,28,13,1,75
"215","result",34,31,10,0,75
"216","boy",28,37,7,2,74
"217","citizens",61,12,0,1,74
"218","dollars",33,31,9,1,74
"219","equal",43,23,4,4,74
"220","fear",37,31,5,1,74
"221","idea",34,33,6,1,74
"222","paper",47,24,3,0,74
"223","sandy",29,35,9,1,74
"224","women",21,25,17,11,74
"225","food",28,34,10,1,73
"226","glad",35,25,11,2,73
"227","history",41,25,4,3,73
"228","hundred",38,23,3,9,73
"229","rochester",58,14,0,1,73
"230","short",27,23,20,3,73
"231","call",33,30,7,2,72
"232","deep",29,29,12,2,72
"233","miss",35,20,0,17,72
"234","remember",28,31,13,0,72
"235","change",34,29,7,1,71
"236","compelled",37,28,6,0,71
"237","convention",58,8,5,0,71
"238","dark",27,32,10,2,71
"239","door",30,26,15,0,71
"240","farm",27,27,16,1,71
"241","feelings",26,32,13,0,71
"242","humanity",26,35,10,0,71
"243","movement",31,39,0,1,71
"244","succeeded",25,26,20,0,71
"245","book",25,29,13,3,70
"246","distance",26,30,12,2,70
"247","duty",42,23,5,0,70
"248","feet",25,25,9,11,70
"249","lash",22,34,13,1,70
"250","learning",29,27,14,0,70
"251","measure",59,10,1,0,70
"252","twenty",29,26,10,5,70
"253","grandmother",17,44,8,0,69
"254","national",48,19,1,1,69
"255","office",49,13,7,0,69
"256","reached",41,18,7,3,69
"257","business",34,25,7,2,68
"258","colonel",15,10,43,0,68
"259","sunday",24,20,7,17,68
"260","voice",36,25,6,1,68
"261","cruelty",16,38,13,0,67
"262","fugitive",30,27,10,0,67
"263","plan",42,18,7,0,67
"264","story",36,25,4,2,67
"265","strange",28,25,5,9,67
"266","strength",29,24,11,3,67
"267","bound",34,23,6,3,66
"268","bring",29,29,7,1,66
"269","horses",25,28,12,1,66
"270","laws",32,30,2,2,66
"271","opinion",29,31,6,0,66
"272","prejudice",34,27,5,0,66
"273","sir",35,28,3,0,66
"274","sort",28,30,8,0,66
"275","board",28,23,7,7,65
"276","capt",37,28,0,0,65
"277","expected",29,25,9,2,65
"278","giving",34,23,7,1,65
"279","learned",24,31,8,2,65
"280","running",29,29,6,1,65
"281","sentiment",45,17,3,0,65
"282","committed",28,29,7,0,64
"283","constitution",47,12,4,1,64
"284","emancipation",43,14,7,0,64
"285","eye",22,26,13,3,64
"286","street",31,21,8,4,64
"287","supposed",24,30,7,3,64
"288","trouble",31,26,6,1,64
"289","age",22,24,14,3,63
"290","america",22,34,2,5,63
"291","form",22,25,9,7,63
"292","pass",25,26,11,1,63
"293","rest",36,20,6,1,63
"294","abroad",34,24,2,2,62
"295","answer",21,24,11,6,62
"296","bondage",24,32,5,1,62
"297","captain",40,8,10,4,62
"298","direction",28,26,7,1,62
"299","lucretia",30,24,8,0,62
"300","noble",30,19,12,1,62
"301","position",34,26,1,1,62
"302","son",27,24,9,2,62
"303","act",33,21,7,0,61
"304","attempt",30,24,7,0,61
"305","grand",30,22,1,8,61
"306","wild",23,28,7,3,61
"307","account",28,28,3,1,60
"308","bay",17,25,14,4,60
"309","bread",20,32,7,1,60
"310","greatly",30,26,4,0,60
"311","influence",31,22,7,0,60
"312","kitchen",24,32,4,0,60
"313","papers",38,21,1,0,60
"314","rule",32,25,3,0,60
"315","abolition",40,18,1,0,59
"316","ago",27,19,3,10,59
"317","beautiful",28,17,5,9,59
"318","conduct",22,31,6,0,59
"319","sight",20,25,7,7,59
"320","soldiers",56,2,0,1,59
"321","wrong",25,29,5,0,59
"322","bear",25,19,11,3,58
"323","forward",23,26,9,0,58
"324","garrison",31,25,2,0,58
"325","marked",23,22,11,2,58
"326","sea",20,11,1,26,58
"327","visit",39,13,3,3,58
"328","covey’s",19,30,8,0,57
"329","guilty",18,32,7,0,57
"330","pleased",26,21,7,3,57
"331","remained",23,25,9,0,57
"332","road",24,20,4,9,57
"333","standing",28,23,4,2,57
"334","taking",22,23,10,2,57
"335","water",19,26,6,6,57
"336","covered",25,21,6,4,56
"337","crime",25,23,7,1,56
"338","edward",25,25,6,0,56
"339","favor",26,21,7,2,56
"340","future",33,18,5,0,56
"341","horse",20,25,9,2,56
"342","letter",29,18,6,3,56
"343","regarded",23,20,13,0,56
"344","scene",28,24,0,4,56
"345","terrible",31,18,7,0,56
"346","treatment",25,25,6,0,56
"347","wished",32,15,9,0,56
"348","advantage",25,24,5,1,55
"349","arms",36,15,3,1,55
"350","attention",28,18,4,5,55
"351","finding",20,25,8,2,55
"352","massachusetts",29,16,9,1,55
"353","northern",25,26,4,0,55
"354","sought",34,16,5,0,55
"355","town",27,13,6,9,55
"356","written",24,23,5,3,55
"357","boston",30,21,3,0,54
"358","considered",24,20,10,0,54
"359","fine",20,18,3,13,54
"360","iron",27,22,5,0,54
"361","privilege",18,26,9,1,54
"362","reasons",29,21,3,1,54
"363","relation",21,29,4,0,54
"364","sold",17,25,10,2,54
"365","tothe",54,0,0,0,54
"366","washington",47,4,3,0,54
"367","wisdom",31,23,0,0,54
"368","existence",18,27,7,1,53
"369","forever",20,23,10,0,53
"370","send",26,23,4,0,53
"371","service",30,19,3,1,53
"372","stay",30,13,5,5,53
"373","step",29,19,5,0,53
"374","appearance",20,22,7,3,52
"375","boys",15,27,8,2,52
"376","corn",21,21,9,1,52
"377","honor",36,9,6,1,52
"378","led",19,28,3,2,52
"379","opportunity",25,19,8,0,52
"380","paid",29,18,4,1,52
"381","pride",26,20,1,5,52
"382","protection",34,13,5,0,52
"383","bitter",21,26,4,0,51
"384","born",21,21,6,3,51
"385","bright",29,16,1,5,51
"386","deeply",18,24,5,4,51
"387","fire",26,17,7,1,51
"388","impossible",23,22,5,1,51
"389","lost",28,19,4,0,51
"390","piece",16,26,8,1,51
"391","prayer",17,23,10,1,51
"392","rich",20,22,5,4,51
"393","bad",15,29,6,0,50
"394","desire",25,16,9,0,50
"395","evidence",18,24,7,1,50
"396","fell",21,17,11,1,50
"397","force",31,14,5,0,50
"398","hours",25,11,9,5,50
"399","inthe",50,0,0,0,50
"400","joy",22,20,8,0,50
"401","lady",29,14,1,6,50
"402","lay",22,15,13,0,50
"403","powerful",24,16,6,4,50
"404","speaking",25,19,5,1,50
"405","success",29,13,8,0,50
"406","abolitionists",23,21,5,0,49
"407","address",26,16,1,6,49
"408","christian",17,23,3,6,49
"409","effort",25,17,6,1,49
"410","gore",14,21,14,0,49
"411","hamilton",15,20,14,0,49
"412","ignorance",22,24,2,1,49
"413","kindness",20,25,4,0,49
"414","necessity",25,17,7,0,49
"415","neighborhood",21,25,3,0,49
"416","peculiar",22,19,4,4,49
"417","sabbath",15,23,11,0,49
"418","subjected",17,22,10,0,49
"419","ten",19,24,5,1,49
"420","thirty",25,21,3,0,49
"421","trade",15,27,7,0,49
"422","views",28,15,3,3,49
"423","wood",19,20,9,1,49
"424","beginning",26,15,5,2,48
"425","carried",23,16,9,0,48
"426","eat",10,18,20,0,48
"427","failed",22,19,7,0,48
"428","fight",26,15,6,1,48
"429","forty",26,13,1,8,48
"430","holidays",16,23,9,0,48
"431","mine",17,26,5,0,48
"432","named",19,20,9,0,48
"433","one",0,0,0,48,48
"434","personal",23,23,2,0,48
"435","reaching",19,24,4,1,48
"436","required",27,15,6,0,48
"437","resolved",21,16,11,0,48
"438","abraham",44,0,0,3,47
"439","building",25,16,1,5,47
"440","due",28,15,4,0,47
"441","duties",22,22,3,0,47
"442","education",26,20,1,0,47
"443","fall",23,19,3,2,47
"444","happiness",18,19,10,0,47
"445","katy",20,27,0,0,47
"446","late",24,15,4,4,47
"447","meant",25,16,6,0,47
"448","month",21,19,7,0,47
"449","pay",22,14,11,0,47
"450","progress",30,16,1,0,47
"451","worse",21,17,9,0,47
"452","ability",21,16,8,1,46
"453","anthony",29,13,4,0,46
"454","cabin",22,24,0,0,46
"455","chains",9,24,11,2,46
"456","chief",25,13,6,2,46
"457","dead",19,19,5,3,46
"458","eastern",21,23,0,2,46
"459","employment",15,14,17,0,46
"460","evil",19,20,7,0,46
"461","heaven",18,22,5,1,46
"462","houses",23,14,5,4,46
"463","johnson",21,14,11,0,46
"464","kindly",16,19,11,0,46
"465","lot",16,23,7,0,46
"466","memory",25,20,0,1,46
"467","millions",25,15,4,2,46
"468","names",15,19,12,0,46
"469","outrage",15,26,5,0,46
"470","proper",17,25,4,0,46
"471","quarter",25,18,2,1,46
"472","shore",18,22,3,3,46
"473","simply",25,19,1,1,46
"474","sympathy",22,19,5,0,46
"475","wealth",24,13,7,2,46
"476","altogether",20,22,3,0,45
"477","british",24,19,0,2,45
"478","died",17,14,12,2,45
"479","don’t",21,19,5,0,45
"480","easy",20,23,2,0,45
"481","gentleman",20,17,5,3,45
"482","invited",34,8,2,1,45
"483","pleasure",14,20,8,3,45
"484","political",29,12,4,0,45
"485","principles",19,24,2,0,45
"486","reach",19,19,5,2,45
"487","rebellion",41,4,0,0,45
"488","scarcely",18,19,7,1,45
"489","simple",21,21,3,0,45
"490","spoke",24,11,8,2,45
"491","suffered",18,19,8,0,45
"492","telling",20,16,8,1,45
"493","treated",19,17,6,3,45
"494","west",29,9,3,4,45
"495","audience",24,14,3,3,44
"496","county",15,19,10,0,44
"497","courage",30,11,3,0,44
"498","disposed",18,15,10,1,44
"499","hall",35,6,1,2,44
"500","intended",20,16,8,0,44
"501","line",27,13,3,1,44
"502","lives",22,16,5,1,44
"503","mere",16,21,6,1,44
"504","painful",12,19,12,1,44
"505","policy",34,10,0,0,44
"506","prison",17,19,8,0,44
"507","refused",25,13,6,0,44
"508","reply",26,13,5,0,44
"509","rise",21,16,4,3,44
"510","secure",23,17,2,2,44
"511","thinking",17,18,9,0,44
"512","toil",21,17,5,1,44
"513","tree",18,16,5,5,44
"514","wages",18,18,8,0,44
"515","wise",31,12,1,0,44
"516","adopted",18,17,7,1,43
"517","bloody",15,13,15,0,43
"518","broad",23,17,2,1,43
"519","charles",29,7,5,2,43
"520","conflict",31,12,0,0,43
"521","difficulty",17,19,7,0,43
"522","farms",11,15,17,0,43
"523","finally",18,12,13,0,43
"524","forget",22,15,6,0,43
"525","hunger",12,23,8,0,43
"526","letters",18,14,5,6,43
"527","mental",18,21,4,0,43
"528","minds",15,20,8,0,43
"529","past",21,18,0,4,43
"530","raised",24,15,4,0,43
"531","relations",22,21,0,0,43
"532","seat",21,19,3,0,43
"533","shocking",18,22,3,0,43
"534","social",22,21,0,0,43
"535","stop",21,13,8,1,43
"536","talk",22,14,7,0,43
"537","understand",15,21,7,0,43
"538","usual",21,16,5,1,43
"539","air",27,13,1,1,42
"540","consideration",27,13,1,1,42
"541","faith",26,12,3,1,42
"542","favorable",18,20,1,3,42
"543","flesh",8,27,6,1,42
"544","holding",22,15,4,1,42
"545","hungry",15,20,7,0,42
"546","immediately",13,10,19,0,42
"547","leading",18,21,3,0,42
"548","prevent",20,18,4,0,42
"549","remain",17,17,6,2,42
"550","republic",32,8,1,1,42
"551","served",18,17,7,0,42
"552","shoulders",12,23,7,0,42
"553","struck",18,18,5,1,42
"554","virginia",33,8,1,0,42
"555","whipping",5,17,20,0,42
"556","corner",20,17,3,1,41
"557","disposition",18,16,7,0,41
"558","entire",16,23,2,0,41
"559","escaped",13,13,15,0,41
"560","excellent",13,21,2,5,41
"561","hired",17,16,8,0,41
"562","honest",21,19,1,0,41
"563","lecture",26,15,0,0,41
"564","loved",19,14,8,0,41
"565","michaels",39,0,2,0,41
"566","walk",17,18,4,2,41
"567","blows",20,18,2,0,40
"568","evening",17,10,3,10,40
"569","evidently",16,20,1,3,40
"570","freeman",15,21,4,0,40
"571","happened",16,19,4,1,40
"572","move",12,13,15,0,40
"573","overseers",16,15,9,0,40
"574","oxen",14,16,9,1,40
"575","proved",17,15,8,0,40
"576","river",18,17,2,3,40
"577","sad",16,20,2,2,40
"578","save",27,8,5,0,40
"579","spoken",23,11,4,2,40
"580","acquainted",12,19,8,0,39
"581","brave",32,6,1,0,39
"582","confidence",21,13,5,0,39
"583","connected",17,17,3,2,39
"584","darkness",11,21,5,2,39
"585","daughter",18,14,6,1,39
"586","efforts",26,9,4,0,39
"587","enjoyed",12,18,8,1,39
"588","fair",21,12,4,2,39
"589","gate",14,15,9,1,39
"590","journey",15,19,3,2,39
"591","keeping",14,20,5,0,39
"592","meetings",21,16,2,0,39
"593","play",20,19,0,0,39
"594","soil",29,6,3,1,39
"595","started",16,13,9,1,39
"596","statement",16,17,6,0,39
"597","suppose",16,12,7,4,39
"598","tied",13,13,13,0,39
"599","watched",17,17,5,0,39
"600","winter",16,19,3,1,39
"601","believed",23,9,4,2,38
"602","brothers",15,20,1,2,38
"603","brutal",14,24,0,0,38
"604","continued",19,13,5,1,38
"605","danger",20,14,4,0,38
"606","description",16,13,6,3,38
"607","determined",20,12,6,0,38
"608","dread",18,17,3,0,38
"609","gained",20,11,6,1,38
"610","labors",22,12,3,1,38
"611","laid",13,19,6,0,38
"612","language",19,15,4,0,38
"613","meal",13,20,4,1,38
"614","ox",15,20,3,0,38
"615","passengers",10,14,0,14,38
"616","physical",15,19,1,3,38
"617","possessed",19,15,4,0,38
"618","powers",16,18,4,0,38
"619","rate",19,14,5,0,38
"620","resistance",18,16,3,1,38
"621","rev",14,14,4,6,38
"622","safe",16,16,6,0,38
"623","taught",22,14,2,0,38
"624","train",25,7,1,5,38
"625","uncle",20,17,1,0,38
"626","warm",13,17,7,1,38
"627","allowance",9,19,9,0,37
"628","caused",20,12,3,2,37
"629","chance",17,14,5,1,37
"630","civilization",25,11,0,1,37
"631","cut",12,19,6,0,37
"632","decided",18,11,7,1,37
"633","earnest",27,9,1,0,37
"634","equally",23,11,3,0,37
"635","exercise",13,20,4,0,37
"636","hon",35,2,0,0,37
"637","husband",11,20,6,0,37
"638","killed",16,10,11,0,37
"639","literally",13,20,4,0,37
"640","man’s",22,12,3,0,37
"641","mercy",14,20,3,0,37
"642","severe",9,14,14,0,37
"643","situation",22,5,10,0,37
"644","songs",10,17,10,0,37
"645","summer",16,17,3,1,37
"646","arrest",21,13,2,0,36
"647","bare",14,20,0,2,36
"648","close",18,13,3,2,36
"649","coarse",12,16,8,0,36
"650","command",20,12,3,1,36
"651","degree",19,11,6,0,36
"652","denied",19,15,1,1,36
"653","earth",15,17,1,3,36
"654","entered",14,17,5,0,36
"655","ferry",34,1,1,0,36
"656","floor",17,11,5,3,36
"657","george",24,10,1,1,36
"658","hopes",15,19,2,0,36
"659","impression",16,12,3,5,36
"660","instance",15,17,4,0,36
"661","james",26,9,1,0,36
"662","pious",12,14,9,1,36
"663","prove",18,16,2,0,36
"664","returned",17,12,6,1,36
"665","rough",18,14,1,3,36
"666","saturday",8,11,9,8,36
"667","shown",18,9,4,5,36
"668","sleep",11,20,5,0,36
"669","smith",23,11,2,0,36
"670","support",21,12,3,0,36
"671","table",20,12,3,1,36
"672","worth",17,15,2,2,36
"673","breaking",13,18,4,0,35
"674","childhood",12,20,3,0,35
"675","clothing",12,13,7,3,35
"676","determination",12,10,13,0,35
"677","district",23,9,3,0,35
"678","fields",15,12,2,6,35
"679","gentlemen",25,7,2,1,35
"680","increase",18,14,2,1,35
"681","iwas",35,0,0,0,35
"682","length",14,12,7,2,35
"683","manhood",15,16,3,1,35
"684","owned",16,12,6,1,35
"685","passing",17,14,1,3,35
"686","proof",17,13,2,3,35
"687","skill",20,13,0,2,35
"688","sky",21,9,1,4,35
"689","tommy",17,18,0,0,35
"690","writing",12,14,6,3,35
"691","andrew",18,10,6,0,34
"692","appeared",20,8,6,0,34
"693","armed",18,13,3,0,34
"694","battle",21,10,2,1,34
"695","books",14,12,2,6,34
"696","camp",15,14,5,0,34
"697","community",11,18,5,0,34
"698","complete",16,15,2,1,34
"699","engaged",7,16,11,0,34
"700","events",24,8,1,1,34
"701","fred",12,12,10,0,34
"702","frequently",4,11,18,1,34
"703","front",15,12,3,4,34
"704","happy",10,19,4,1,34
"705","hearing",13,12,9,0,34
"706","hearted",17,13,4,0,34
"707","hotel",11,5,0,18,34
"708","ignorant",11,17,6,0,34
"709","increased",15,16,2,1,34
"710","loyal",33,0,1,0,34
"711","observed",18,14,2,0,34
"712","opposite",16,13,3,2,34
"713","perfect",13,10,4,7,34
"714","railroad",20,12,2,0,34
"715","reading",12,15,5,2,34
"716","receive",23,8,3,0,34
"717","root",14,16,3,1,34
"718","sisters",10,21,2,1,34
"719","special",16,12,4,2,34
"720","strike",16,13,5,0,34
"721","teach",13,14,7,0,34
"722","violence",23,11,0,0,34
"723","attempted",20,11,2,0,33
"724","attend",21,9,3,0,33
"725","attended",11,11,5,6,33
"726","cart",10,15,8,0,33
"727","circumstance",11,18,4,0,33
"728","deemed",10,16,7,0,33
"729","delivered",19,11,3,0,33
"730","democratic",21,12,0,0,33
"731","difference",15,16,2,0,33
"732","distinguished",19,12,2,0,33
"733","dust",17,12,1,3,33
"734","eloquence",17,13,3,0,33
"735","hate",12,16,3,2,33
"736","kansas",33,0,0,0,33
"737","kill",10,15,8,0,33
"738","loss",14,13,5,1,33
"739","moments",14,11,8,0,33
"740","naturally",22,10,1,0,33
"741","offense",15,17,0,1,33
"742","pray",16,14,2,1,33
"743","promptly",18,14,0,1,33
"744","protect",17,11,5,0,33
"745","punishment",11,15,7,0,33
"746","safety",15,10,6,2,33
"747","sell",11,16,6,0,33
"748","separation",13,12,8,0,33
"749","solemn",13,11,3,6,33
"750","sound",9,17,4,3,33
"751","surrounded",15,12,4,2,33
"752","tender",16,11,6,0,33
"753","thousands",22,6,4,1,33
"754","tone",14,12,7,0,33
"755","advice",13,15,4,0,32
"756","affection",9,17,6,0,32
"757","alike",12,17,2,1,32
"758","authority",16,13,3,0,32
"759","bed",12,15,4,1,32
"760","birth",11,14,6,1,32
"761","cast",13,16,2,1,32
"762","changed",20,7,4,1,32
"763","dangerous",16,13,2,1,32
"764","daniel",17,11,4,0,32
"765","die",13,12,6,1,32
"766","easton",12,11,9,0,32
"767","enterprise",17,14,1,0,32
"768","excited",13,17,2,0,32
"769","expressed",22,7,3,0,32
"770","fallen",16,11,1,4,32
"771","fate",11,13,8,0,32
"772","filled",15,11,6,0,32
"773","flung",15,17,0,0,32
"774","girl",12,15,5,0,32
"775","ill",15,16,1,0,32
"776","jail",12,11,9,0,32
"777","moved",14,11,4,3,32
"778","murder",15,15,2,0,32
"779","plain",18,8,3,3,32
"780","population",14,11,7,0,32
"781","prepared",16,10,5,1,32
"782","promise",20,9,1,2,32
"783","real",16,12,3,1,32
"784","singing",9,16,5,2,32
"785","sloop",11,13,8,0,32
"786","suffering",14,13,5,0,32
"787","sufficient",13,15,4,0,32
"788","understood",8,15,9,0,32
"789","victim",8,19,5,0,32
"790","wretched",7,17,8,0,32
"791","afforded",14,12,5,0,31
"792","argument",18,10,3,0,31
"793","belonged",16,11,4,0,31
"794","completely",15,14,1,1,31
"795","earnings",16,14,1,0,31
"796","expression",17,11,3,0,31
"797","hardships",18,9,4,0,31
"798","harris",14,13,4,0,31
"799","knowing",14,13,4,0,31
"800","makes",12,12,4,3,31
"801","march",15,4,3,9,31
"802","pain",14,11,5,1,31
"803","parties",14,14,3,0,31
"804","pen",15,14,2,0,31
"805","pleasant",10,11,0,10,31
"806","popular",22,7,1,1,31
"807","practice",10,17,4,0,31
"808","pretty",9,17,3,2,31
"809","see",0,0,0,31,31
"810","souls",9,14,8,0,31
"811","superior",13,16,2,0,31
"812","testimony",13,11,6,1,31
"813","walked",12,11,4,4,31
"814","addressed",15,10,3,2,30
"815","break",12,14,4,0,30
"816","brute",9,15,6,0,30
"817","de",18,12,0,0,30
"818","devoted",15,11,4,0,30
"819","divided",16,10,4,0,30
"820","failure",15,10,5,0,30
"821","generous",17,13,0,0,30
"822","glorious",14,14,2,0,30
"823","green",19,9,0,2,30
"824","hair",14,12,3,1,30
"825","harper’s",30,0,0,0,30
"826","highly",13,10,6,1,30
"827","holy",7,20,3,0,30
"828","huge",12,18,0,0,30
"829","methodist",10,15,4,1,30
"830","ministers",16,11,3,0,30
"831","occupied",16,13,0,1,30
"832","philadelphia",23,6,1,0,30
"833","properly",20,6,4,0,30
"834","remarkable",15,6,3,6,30
"835","removed",16,13,1,0,30
"836","rendered",13,14,1,2,30
"837","senate",25,4,0,1,30
"838","sic",0,30,0,0,30
"839","slave’s",11,17,2,0,30
"840","speeches",17,12,1,0,30
"841","successful",9,15,5,1,30
"842","trees",15,11,3,1,30
"843","tuckahoe",7,22,1,0,30
"844","voyage",12,8,0,10,30
"845","added",14,10,5,0,29
"846","arrival",9,10,8,2,29
"847","awakened",12,15,2,0,29
"848","calling",13,10,5,1,29
"849","consequence",8,13,8,0,29
"850","dozen",12,14,3,0,29
"851","ease",9,10,9,1,29
"852","follow",13,11,5,0,29
"853","gospel",10,18,1,0,29
"854","grant",22,6,0,1,29
"855","humane",14,11,4,0,29
"856","measures",17,10,2,0,29
"857","mighty",14,11,4,0,29
"858","now",0,0,0,29,29
