"","word","Volume 2 (1843-1858)","Volume 7 (1863-1865)","sum_word_counts"
"154","hold",32,17,49
"155","result",23,26,49
"156","seward",0,49,49
"157","ago",29,19,48
"158","douglas",48,0,48
"159","p.m",1,47,48
"160","plan",7,41,48
"161","taylor",46,2,48
"162","york",15,33,48
"163","1",16,31,47
"164","consideration",19,28,47
"165","desire",24,23,47
"166","fort",4,43,47
"167","gentleman",43,4,47
"168","kentucky",21,26,47
"169","paid",26,21,47
"170","person",17,30,47
"171","till",40,7,47
"172","understood",30,17,47
"173","command",6,40,46
"174","constitutional",26,20,46
"175","elected",35,11,46
"176","property",22,24,46
"177","read",35,11,46
"178","doubt",37,8,45
"179","half",37,8,45
"180","leave",26,19,45
"181","louis",11,34,45
"182","means",27,18,45
"183","oath",3,42,45
"184","officer",3,42,45
"185","yesterday",10,35,45
"186","dollars",36,8,44
"187","enemy",4,40,44
"188","fair",22,22,44
"189","foreign",7,37,44
"190","ground",31,13,44
"191","independence",31,13,44
"192","lands",32,12,44
"193","note",20,24,44
"194","regard",10,34,44
"195","river",29,15,44
"196","stanton",1,43,44
"197","county",30,13,43
"198","existing",15,28,43
"199","freedom",32,11,43
"200","legislature",27,16,43
"201","measure",30,13,43
"202","money",35,8,43
"203","repeal",43,0,43
"204","word",30,13,43
"205","america",7,35,42
"206","attention",8,34,42
"207","brought",24,18,42
"208","civil",7,35,42
"209","copy",10,32,42
"210","issue",18,24,42
"211","justice",30,12,42
"212","rights",17,25,42
"213","september",6,36,42
"214","stated",19,23,42
"215","tennessee",8,34,42
"216","whigs",42,0,42
"217","write",39,3,42
"218","attempt",19,22,41
"219","despatch",1,40,41
"220","entitled",10,31,41
"221","home",24,17,41
"222","louisiana",9,32,41
"223","morning",15,26,41
"224","necessity",22,19,41
"225","relation",17,24,41
"226","required",14,27,41
"227","session",17,24,41
"228","whig",41,0,41
"229","2",8,32,40
"230","american",17,23,40
"231","amount",17,23,40
"232","consent",28,12,40
"233","feel",20,20,40
"234","october",9,31,40
"235","ohio",19,21,40
"236","thomas",9,31,40
"237","action",14,25,39
"238","declare",11,28,39
"239","labor",6,33,39
"240","pass",16,23,39
"241","principles",27,12,39
"242","receive",11,28,39
"243","st",11,28,39
"244","taking",25,14,39
"245","violence",26,13,39
"246","8",11,27,38
"247","boundary",34,4,38
"248","cass",38,0,38
"249","evidence",21,17,38
"250","loyal",1,37,38
"251","stand",27,11,38
"252","system",18,20,38
"253","colonel",12,25,37
"254","declared",22,15,37
"255","democrats",35,2,37
"256","duties",14,23,37
"257","measures",19,18,37
"258","operations",3,34,37
"259","pier",37,0,37
"260","short",27,10,37
"261","strong",25,12,37
"262","troops",3,34,37
"263","black",22,14,36
"264","emancipation",12,24,36
"265","form",16,20,36
"266","information",9,27,36
"267","intended",23,13,36
"268","ports",0,36,36
"269","resolution",6,30,36
"270","shown",12,24,36
"271","west",15,21,36
"272","10",8,27,35
"273","aid",9,26,35
"274","business",25,10,35
"275","change",15,20,35
"276","claim",19,16,35
"277","considered",17,18,35
"278","difficulty",24,11,35
"279","faith",19,16,35
"280","honor",13,22,35
"281","lines",4,31,35
"282","pay",23,12,35
"283","private",13,22,35
"284","remain",12,23,35
"285","remember",19,16,35
"286","richmond",2,33,35
"287","ten",29,6,35
"288","terms",10,25,35
"289","times",27,8,35
"290","9",7,27,34
"291","beginning",24,10,34
"292","blair",0,34,34
"293","candidate",32,2,34
"294","commanding",1,33,34
"295","common",20,14,34
"296","express",26,8,34
"297","extension",32,2,34
"298","field",8,26,34
"299","human",26,8,34
"300","policy",17,17,34
"301","questions",26,8,34
"302","5",10,23,33
"303","butler",6,27,33
"304","death",22,11,33
"305","established",14,19,33
"306","giving",17,16,33
"307","hear",19,14,33
"308","indiana",16,17,33
"309","meade",1,32,33
"310","mentioned",20,13,33
"311","mexican",33,0,33
"312","negro",28,5,33
"313","negroes",27,6,33
"314","proposition",17,16,33
"315","voted",32,1,33
"316","applause",30,2,32
"317","campbell",7,25,32
"318","future",20,12,32
"319","presidential",17,15,32
"320","provision",22,10,32
"321","trade",20,12,32
"322","western",20,12,32
"323","3",7,24,31
"324","baltimore",8,23,31
"325","chief",19,12,31
"326","continued",22,9,31
"327","elections",13,18,31
"328","extent",20,11,31
"329","meet",15,16,31
"330","mind",22,9,31
"331","monroe",1,30,31
"332","paper",11,20,31
"333","personal",13,18,31
"334","prisoners",3,28,31
"335","section",14,17,31
"336","special",5,26,31
"337","spirit",18,13,31
"338","truth",27,4,31
"339","written",17,14,31
"340","7",12,18,30
"341","account",14,16,30
"342","arkansas",11,19,30
"343","august",4,26,30
"344","carolina",19,11,30
"345","coming",16,14,30
"346","conduct",10,20,30
"347","democratic",26,4,30
"348","execution",3,27,30
"349","iowa",16,14,30
"350","miles",24,6,30
"351","moral",25,5,30
"352","parties",24,6,30
"353","past",15,15,30
"354","post",22,8,30
"355","republican",20,10,30
"356","satisfactory",6,24,30
"357","sherman",0,30,30
"358","success",4,26,30
"359","supposed",14,16,30
"360","1848",29,0,29
"361","advantage",20,9,29
"362","blood",26,3,29
"363","claims",17,12,29
"364","decided",23,6,29
"365","decision",22,7,29
"366","forces",4,25,29
"367","letters",16,13,29
"368","maryland",6,23,29
"369","prevent",18,11,29
"370","resolved",13,16,29
"371","a.m",0,28,28
"372","armies",3,25,28
"373","authorized",4,24,28
"374","believed",9,19,28
"375","care",11,17,28
"376","carried",15,13,28
"377","close",11,17,28
"378","due",11,17,28
"379","eckert",0,28,28
"380","esq",13,15,28
"381","events",12,16,28
"382","glad",12,16,28
"383","henry",22,6,28
"384","hunter",0,28,28
"385","internal",23,5,28
"386","legal",22,6,28
"387","opposed",22,6,28
"388","provided",16,12,28
"389","request",14,14,28
"390","save",12,16,28
"391","treaty",21,7,28
"392","vessels",1,27,28
"393","volunteers",3,25,28
"394","voting",23,5,28
"395","bring",12,15,27
"396","colored",6,21,27
"397","continue",11,16,27
"398","control",17,10,27
"399","corps",0,27,27
"400","current",24,3,27
"401","direction",11,16,27
"402","duly",6,21,27
"403","efforts",15,12,27
"404","fear",12,15,27
"405","history",21,6,27
"406","johnson",3,24,27
"407","mine",14,13,27
"408","mississippi",13,14,27
"409","night",14,13,27
"410","papers",20,7,27
"411","portion",22,5,27
"412","purposes",12,15,27
"413","territories",23,4,27
"414","understanding",13,14,27
"415","abraham",2,24,26
"416","adopted",14,12,26
"417","aforesaid",0,26,26
"418","appointed",16,10,26
"419","circumstances",16,10,26
"420","connection",17,9,26
"421","contrary",17,9,26
"422","debt",10,16,26
"423","deny",24,2,26
"424","difference",20,6,26
"425","draft",2,24,26
"426","expect",15,11,26
"427","feeling",17,9,26
"428","georgia",11,15,26
"429","idea",20,6,26
"430","immediately",8,18,26
"431","influence",20,6,26
"432","jefferson",18,8,26
"433","language",21,5,26
"434","nations",3,23,26
"435","practical",14,12,26
"436","propose",18,8,26
"437","proposed",11,15,26
"438","respective",10,16,26
"439","sacred",26,0,26
"440","settlement",20,6,26
"441","sort",22,4,26
"442","18",2,23,25
"443","4",10,15,25
"444","actual",6,19,25
"445","approved",2,23,25
"446","bank",21,4,25
"447","british",17,8,25
"448","danger",17,8,25
"449","evil",18,7,25
"450","fight",6,19,25
"451","heretofore",5,20,25
"452","instructions",3,22,25
"453","late",16,9,25
"454","legislation",13,12,25
"455","limits",17,8,25
"456","mere",20,5,25
"457","mistake",15,10,25
"458","postmaster",18,7,25
"459","prove",17,8,25
"460","reached",6,19,25
"461","reference",10,15,25
"462","resolutions",22,3,25
"463","senator",20,5,25
"464","speak",21,4,25
"465","11",5,19,24
"466","12",8,16,24
"467","6",4,20,24
"468","amendment",8,16,24
"469","battle",12,12,24
"470","charge",14,10,24
"471","countries",11,13,24
"472","created",20,4,24
"473","davis",10,14,24
"474","directed",4,20,24
"475","effort",9,15,24
"476","eighty",10,14,24
"477","lost",19,5,24
"478","marshal",2,22,24
"479","occasion",11,13,24
"480","period",14,10,24
"481","port",1,23,24
"482","proceed",8,16,24
"483","reply",9,15,24
"484","servant",10,14,24
"485","sheridan",0,24,24
"486","soil",22,2,24
"487","southern",19,5,24
"488","words",12,12,24
"489","15",7,16,23
"490","1849",23,0,23
"491","19",9,14,23
"492","acts",9,14,23
"493","add",6,17,23
"494","additional",7,16,23
"495","address",2,21,23
"496","admitted",18,5,23
"497","allowed",11,12,23
"498","altogether",15,8,23
"499","approve",10,13,23
"500","body",16,7,23
"501","bridge",23,0,23
"502","carry",18,5,23
"503","caused",0,23,23
"504","character",16,7,23
"505","company",9,14,23
"506","contest",14,9,23
"507","deemed",3,20,23
"508","engaged",6,17,23
"509","forward",8,15,23
"510","head",17,6,23
"511","improvement",20,3,23
"512","objects",18,5,23
"513","platform",19,4,23
"514","popular",14,9,23
"515","proviso",23,0,23
"516","provost",0,23,23
"517","republic",12,11,23
"518","safe",5,18,23
"519","sense",16,7,23
"520","struggle",14,9,23
"521","trial",9,14,23
"522","twelve",7,16,23
"523","writing",9,14,23
"524","admission",15,7,22
"525","admit",20,2,22
"526","annual",4,18,22
"527","anxious",10,12,22
"528","arms",7,15,22
"529","confidence",11,11,22
"530","districts",3,19,22
"531","dr",11,11,22
"532","elect",16,6,22
"533","entire",11,11,22
"534","equally",15,7,22
"535","fail",12,10,22
"536","fall",20,2,22
"537","fourth",11,11,22
"538","governments",4,18,22
"539","hour",16,6,22
"540","increase",9,13,22
"541","james",6,16,22
"542","names",11,11,22
"543","ninth",1,21,22
"544","offices",20,2,22
"545","opposition",14,8,22
"546","railroad",9,13,22
"547","respect",13,9,22
"548","respectfully",7,15,22
"549","restoration",7,15,22
"550","scarcely",9,13,22
"551","sections",20,2,22
"552","sentence",6,16,22
"553","speaker",20,2,22
"554","stephens",1,21,22
"555","telegraph",0,22,22
"556","testimony",9,13,22
"557","thirty",16,6,22
"558","trust",10,12,22
"559","views",7,15,22
"560","29",2,19,21
"561","captured",4,17,21
"562","cast",11,10,21
"563","choose",12,9,21
"564","commission",2,19,21
"565","constantly",13,8,21
"566","date",1,20,21
"567","directly",13,8,21
"568","expected",8,13,21
"569","expressed",11,10,21
"570","feet",21,0,21
"571","fifty",10,11,21
"572","fillmore",21,0,21
"573","furnished",4,17,21
"574","grande",21,0,21
"575","including",8,13,21
"576","join",12,9,21
"577","knowledge",7,14,21
"578","live",19,2,21
"579","news",4,17,21
"580","nomination",13,8,21
"581","notice",8,13,21
"582","obedient",8,13,21
"583","potomac",0,21,21
"584","powers",5,16,21
"585","precisely",13,8,21
"586","prescribed",3,18,21
"587","rebel",0,21,21
"588","recommend",7,14,21
"589","recommendation",4,17,21
"590","require",8,13,21
"591","rio",21,0,21
"592","rule",18,3,21
"593","sufficient",17,4,21
"594","term",12,9,21
"595","thereof",1,20,21
"596","wit",4,17,21
"597","30",2,18,20
"598","administration",9,11,20
"599","appears",8,12,20
"600","bad",4,16,20
"601","boat",19,1,20
"602","buchanan",18,2,20
"603","class",10,10,20
"604","conference",0,20,20
"605","desired",16,4,20
"606","favorable",9,11,20
"607","fellow",9,11,20
"608","fixed",5,15,20
"609","leaving",8,12,20
"610","living",11,9,20
"611","maintained",11,9,20
"612","manner",9,11,20
"613","meeting",11,9,20
"614","ordinance",19,1,20
"615","pennsylvania",5,15,20
"616","pressed",8,12,20
"617","promise",11,9,20
"618","reasonable",7,13,20
"619","roads",14,6,20
"620","satisfied",13,7,20
"621","seal",0,20,20
"622","sixty",4,16,20
"623","statement",10,10,20
"624","u.s",1,19,20
"625","utah",20,0,20
"626","whereof",1,19,20
"627","13",5,14,19
"628","1850",17,2,19
"629","advance",11,8,19
"630","afterward",16,3,19
"631","application",9,10,19
"632","appointment",11,8,19
"633","assumed",4,15,19
"634","born",16,3,19
"635","claimed",13,6,19
"636","commerce",5,14,19
"637","courts",12,7,19
"638","decide",9,10,19
"639","delay",8,11,19
"640","east",10,9,19
"641","enemies",9,10,19
"642","finally",17,2,19
"643","hereunto",0,19,19
"644","instance",13,6,19
"645","intend",11,8,19
"646","island",4,15,19
"647","loss",8,11,19
"648","maintain",6,13,19
"649","northern",14,5,19
"650","opinions",17,2,19
"651","original",10,9,19
"652","owned",19,0,19
"653","privileges",0,19,19
"654","provide",3,16,19
"655","real",16,3,19
"656","recent",2,17,19
"657","remaining",12,7,19
"658","road",6,13,19
"659","rosecrans",0,19,19
"660","secure",7,12,19
"661","single",13,6,19
"662","sold",12,7,19
"663","subjects",16,3,19
"664","submit",10,9,19
"665","territorial",18,1,19
"666","wrote",12,7,19
"667","22",5,13,18
"668","25",4,14,18
"669","affixed",0,18,18
"670","appeal",14,4,18
"671","arrest",4,14,18
"672","baker",18,0,18
"673","behalf",8,10,18
"674","brave",3,15,18
"675","chicago",12,6,18
"676","commenced",14,4,18
"677","communication",1,17,18
"678","controversy",13,5,18
"679","correct",10,8,18
"680","dead",13,5,18
"681","deal",10,8,18
"682","exercise",11,7,18
"683","fairly",12,6,18
"684","fought",13,5,18
"685","importance",6,12,18
"686","indorsement",5,13,18
"687","instant",1,17,18
"688","king",15,3,18
"689","merchandise",1,17,18
"690","nashville",1,17,18
"691","perceive",8,10,18
"692","protection",2,16,18
"693","purchase",7,11,18
"694","referred",9,9,18
"695","remarks",13,5,18
"696","restore",9,9,18
"697","run",12,6,18
"698","sought",8,10,18
"699","speeches",16,2,18
"700","submitted",7,11,18
"701","substance",11,7,18
"702","test",9,9,18
"703","wholly",13,5,18
"704","witnesses",15,3,18
"705","31",4,13,17
"706","ability",8,9,17
"707","added",7,10,17
"708","argue",14,3,17
"709","ascertain",7,10,17
"710","authorities",7,10,17
"711","basis",5,12,17
"712","benefits",9,8,17
"713","blockade",0,17,17
"714","britain",11,6,17
"715","commander",5,12,17
"716","consequence",10,7,17
"717","contained",5,12,17
"718","delivered",6,11,17
"719","demand",9,8,17
"720","determined",11,6,17
"721","difficulties",7,10,17
"722","distinguished",10,7,17
"723","edwin",0,17,17
"724","exchange",2,15,17
"725","extend",14,3,17
"726","family",10,7,17
"727","forty",13,4,17
"728","gen",15,2,17
"729","grateful",3,14,17
"730","greatly",9,8,17
"731","headquarters",0,17,17
"732","honorable",4,13,17
"733","ill",10,7,17
"734","insurgent",0,17,17
"735","judicial",10,7,17
"736","local",16,1,17
"737","massachusetts",8,9,17
"738","matters",5,12,17
"739","messrs",2,15,17
"740","months",12,5,17
"741","mother",13,4,17
"742","ord",0,17,17
"743","personally",8,9,17
"744","pope",4,13,17
"745","race",15,2,17
"746","record",9,8,17
"747","revolution",16,1,17
"748","seat",13,4,17
"749","seventy",16,1,17
"750","similar",9,8,17
"751","sooner",5,12,17
"752","steele",0,17,17
"753","strength",6,11,17
"754","van",15,2,17
"755","veto",16,1,17
"756","voice",15,2,17
"757","wisconsin",8,9,17
"758","wishes",5,12,17
"759","16",3,13,16
"760","1847",16,0,16
"761","27",3,13,16
"762","adoption",11,5,16
"763","affairs",8,8,16
"764","age",16,0,16
"765","agree",11,5,16
"766","agreed",11,5,16
"767","apply",9,7,16
"768","benefit",11,5,16
"769","branch",8,8,16
"770","brother",12,4,16
"771","california",10,6,16
"772","capital",1,15,16
"773","commissioners",1,15,16
"774","declaring",8,8,16
"775","dispatch",0,16,16
"776","divided",13,3,16
"777","division",6,10,16
"778","documents",5,11,16
"779","earnest",7,9,16
"780","equality",13,3,16
"781","exclude",11,5,16
"782","executed",7,9,16
"783","existence",7,9,16
"784","extended",7,9,16
"785","extraordinary",4,12,16
"786","failed",12,4,16
"787","fit",8,8,16
"788","follow",7,9,16
"789","indispensable",1,15,16
"790","individual",11,5,16
"791","informed",7,9,16
"792","interior",8,8,16
"793","joint",5,11,16
"794","jurisdiction",13,3,16
"795","obliged",8,8,16
"796","oppose",14,2,16
"797","pardon",1,15,16
"798","prefer",12,4,16
"799","price",14,2,16
"800","probable",9,7,16
"801","products",1,15,16
"802","prosperity",10,6,16
"803","published",6,10,16
"804","ready",5,11,16
"805","regulations",1,15,16
"806","relations",4,12,16
"807","responsible",12,4,16
"808","rock",3,13,16
"809","scott",16,0,16
"810","services",6,10,16
"811","settled",15,1,16
"812","soldier",2,14,16
"813","speaking",15,1,16
"814","suggest",6,10,16
"815","suggestion",4,12,16
"816","supreme",10,6,16
"817","sustain",5,11,16
"818","transportation",7,9,16
"819","wilmot",16,0,16
"820","worth",12,4,16
"821","15th",6,9,15
"822","17",0,15,15
"823","1856",15,0,15
"824","1861",0,15,15
"825","20",1,14,15
"826","21",4,11,15
"827","23",2,13,15
"828","24",4,11,15
"829","26",2,13,15
"830","28",1,14,15
"831","accepted",2,13,15
"832","african",11,4,15
"833","agents",1,14,15
"834","almighty",1,14,15
"835","answered",11,4,15
"836","approval",4,11,15
"837","article",13,2,15
"838","beaten",11,4,15
"839","considerable",9,6,15
"840","d.c",0,15,15
"841","destruction",7,8,15
"842","difficult",6,9,15
"843","direct",8,7,15
"844","draw",15,0,15
"845","establish",13,2,15
"846","exists",12,3,15
"847","gratitude",0,15,15
"848","hardin",14,1,15
"849","herewith",2,13,15
"850","increased",4,11,15
"851","institution",14,1,15
"852","introduce",12,3,15
"853","lay",8,7,15
"854","lose",8,7,15
"855","main",11,4,15
"856","master",6,9,15
"857","meant",14,1,15
"858","millions",12,3,15
"859","mode",7,8,15
"860","nature",11,4,15
"861","newspapers",11,4,15
"862","objection",10,5,15
"863","organization",6,9,15
"864","passage",8,7,15
"865","president's",10,5,15
"866","principal",10,5,15
"867","proclaim",2,13,15
"868","produce",3,12,15
"869","provisions",5,10,15
"870","quotas",0,15,15
"871","reasons",7,8,15
"872","recently",4,11,15
"873","reduced",6,9,15
"874","repeat",7,8,15
"875","restriction",15,0,15
"876","safely",6,9,15
"877","sincere",3,12,15
"878","sound",7,8,15
"879","spoken",13,2,15
"880","struck",14,1,15
"881","sum",13,2,15
"882","suspend",0,15,15
"883","tells",10,5,15
"884","tonnage",9,6,15
"885","water",14,1,15
"886","wheel",15,0,15
"887","williams",10,5,15
"888","witness",3,12,15
"889","worthy",6,9,15
"890","yield",12,3,15
"891","1846",13,1,14
"892","1854",13,1,14
"893","accept",1,13,14
"894","accordance",3,11,14
"895","acted",5,9,14
"896","addressed",3,11,14
"897","adjustment",9,5,14
"898","aggregate",4,10,14
"899","arguments",13,1,14
"900","articles",4,10,14
"901","attend",6,8,14
"902","bond",9,5,14
"903","boston",3,11,14
"904","cavalry",0,14,14
"905","children",8,6,14
"906","columbia",13,1,14
"907","compliment",1,13,14
"908","conditions",2,12,14
"909","conformity",1,13,14
"910","correspondence",3,11,14
"911","domestic",8,6,14
"912","farther",13,1,14
"913","florida",3,11,14
"914","homes",4,10,14
"915","horace",0,14,14
"916","impression",13,1,14
"917","indian",6,8,14
"918","interfere",3,11,14
"919","masters",9,5,14
"920","met",5,9,14
"921","month",5,9,14
"922","occurred",4,10,14
"923","offer",3,11,14
"924","patriotism",6,8,14
"925","petitioner",14,0,14
"926","plain",12,2,14
"927","pleased",5,9,14
"928","positions",10,4,14
"929","possession",6,8,14
"930","progress",5,9,14
"931","protect",2,12,14
"932","purchased",8,6,14
"933","quota",0,14,14
"934","receipts",0,14,14
"935","remains",6,8,14
"936","rendered",5,9,14
"937","reported",9,5,14
"938","representative",12,2,14
"939","response",2,12,14
"940","rivers",12,2,14
"941","saint",1,13,14
"942","sale",7,7,14
"943","senators",11,3,14
"944","spoke",10,4,14
"945","surrender",7,7,14
"946","sympathy",11,3,14
"947","telling",11,3,14
"948","valuable",6,8,14
"949","vermont",2,12,14
"950","voters",6,8,14
"951","wisdom",7,7,14
"952","1845",9,4,13
"953","adopt",7,6,13
"954","assigned",0,13,13
"955","attempted",7,6,13
"956","avoid",5,8,13
"957","beg",7,6,13
"958","chairman",11,2,13
"959","chance",10,3,13
"960","classes",2,11,13
"961","committed",8,5,13
"962","complete",1,12,13
"963","concluded",6,7,13
"964","construction",5,8,13
"965","counties",9,4,13
"966","credits",3,10,13
"967","deed",13,0,13
"968","deem",4,9,13
"969","despatches",0,13,13
"970","destroyed",7,6,13
"971","distinct",6,7,13
"972","excellency",2,11,13
"973","expenses",9,4,13
"974","father",8,5,13
"975","filled",4,9,13
"976","final",8,5,13
"977","forever",9,4,13
"978","fortress",0,13,13
"979","highly",3,10,13
"980","institutions",4,9,13
"981","instrument",11,2,13
"982","issued",1,12,13
"983","learn",5,8,13
"984","lives",6,7,13
"985","man's",10,3,13
"986","mo",0,13,13
"987","monday",7,6,13
"988","natural",12,1,13
"989","organized",2,11,13
"990","partly",10,3,13
"991","permit",5,8,13
"992","pleasure",3,10,13
"993","poor",10,3,13
"994","privilege",3,10,13
"995","process",6,7,13
"996","produced",7,6,13
"997","prohibited",7,6,13
"998","proof",9,4,13
"999","propositions",7,6,13
"1000","propriety",8,5,13
"1001","quarter",8,5,13
"1002","reach",6,7,13
"1003","regiment",0,13,13
"1004","rest",10,3,13
"1005","rise",12,1,13
"1006","sensation",13,0,13
"1007","sentiment",9,4,13
"1008","substantially",8,5,13
"1009","thereto",4,9,13
"1010","told",7,6,13
"1011","urged",10,3,13
"1012","vice",6,7,13
"1013","victory",5,8,13
"1014","warren",1,12,13
"1015","withdraw",2,11,13
"1016","wright",1,12,13
"1017","14",3,9,12
"1018","1851",12,0,12
"1019","1862",0,12,12
"1020","acknowledge",6,6,12
"1021","addition",8,4,12
"1022","allegiance",2,10,12
"1023","anna",9,3,12
"1024","applied",6,6,12
"1025","appropriation",9,3,12
"1026","balance",3,9,12
"1027","blacks",7,5,12
"1028","brings",5,7,12
"1029","buren",12,0,12
"1030","carefully",9,3,12
"1031","citizen",3,9,12
"1032","clay's",12,0,12
"1033","commercial",2,10,12
"1034","conclusion",8,4,12
"1035","confer",3,9,12
"1036","confidential",11,1,12
"1037","defense",3,9,12
"1038","degree",7,5,12
"1039","deserters",0,12,12
"1040","desertion",0,12,12
"1041","determine",7,5,12
"1042","disbursements",1,11,12
"1043","drawn",8,4,12
"1044","dred",12,0,12
"1045","enter",3,9,12
"1046","examined",6,6,12
"1047","exception",11,1,12
"1048","exercised",8,4,12
"1049","feelings",9,3,12
"1050","floor",11,1,12
"1051","foregoing",2,10,12
"1052","formed",9,3,12
"1053","france",9,3,12
"1054","guns",0,12,12
"1055","harbor",5,7,12
"1056","hard",10,2,12
"1057","hoped",1,11,12
"1058","hostilities",7,5,12
"1059","included",6,6,12
"1060","inequality",12,0,12
"1061","inform",3,9,12
"1062","insurrection",1,11,12
"1063","intercourse",2,10,12
"1064","interview",0,12,12
"1065","leading",12,0,12
"1066","learned",10,2,12
"1067","led",8,4,12
"1068","lie",10,2,12
"1069","logan",12,0,12
"1070","lord",3,9,12
"1071","makes",8,4,12
"1072","memory",10,2,12
"1073","move",8,4,12
"1074","moved",8,4,12
"1075","movement",8,4,12
"1076","occasions",5,7,12
"1077","offered",2,10,12
"1078","official",1,11,12
"1079","operation",3,9,12
"1080","owners",9,3,12
"1081","pacific",2,10,12
"1082","peculiar",9,3,12
"1083","perfect",8,4,12
"1084","petersburg",0,12,12
"1085","population",8,4,12
"1086","possibly",8,4,12
"1087","practically",3,9,12
"1088","practice",10,2,12
"1089","prepared",1,11,12
"1090","preserve",5,7,12
"1091","promised",4,8,12
"1092","proportion",7,5,12
"1093","remove",9,3,12
"1094","reserved",12,0,12
"1095","resignation",0,12,12
"1096","resistance",6,6,12
"1097","resources",2,10,12
"1098","sending",6,6,12
"1099","shed",12,0,12
"1100","steamer",0,12,12
"1101","taylor's",11,1,12
"1102","transmit",1,11,12
"1103","weeks",6,6,12
"1104","1st",3,8,11
"1105","87",11,0,11
"1106","agent",2,9,11
"1107","agreement",8,3,11
"1108","amnesty",0,11,11
"1109","annexation",11,0,11
"1110","appeared",4,7,11
"1111","appoint",3,8,11
"1112","assume",8,3,11
"1113","assurance",5,6,11
"1114","authorize",5,6,11
"1115","begin",7,4,11
"1116","break",8,3,11
"1117","buy",7,4,11
"1118","campaign",4,7,11
"1119","capture",1,10,11
"1120","charles",2,9,11
"1121","chiefly",8,3,11
"1122","closed",6,5,11
"1123","coast",3,8,11
"1124","compromises",11,0,11
"1125","confident",6,5,11
"1126","conflict",1,10,11
