"","word","Travel Diary","sum_word_counts","Works","distance"
"81","said",0,295,"Narrative Life (1845)",-0.0610169491525424
"82","friends",0,281,"Life and Times (1881)",0.594306049822064
"83","friends",0,281,"My Bondage (1855)",0.327402135231317
"84","friends",0,281,"Narrative Life (1845)",0.0498220640569395
"85","new",0,279,"Life and Times (1881)",0.949820788530466
"86","new",0,279,"My Bondage (1855)",-0.025089605734767
"87","new",0,279,"Narrative Life (1845)",-0.025089605734767
"88","will",0,278,"Life and Times (1881)",0.913669064748201
"89","will",0,278,"My Bondage (1855)",-0.0431654676258993
"90","will",0,278,"Narrative Life (1845)",-0.0431654676258993
"91","told",0,269,"Life and Times (1881)",0.483271375464684
"92","told",0,269,"My Bondage (1855)",0.278810408921933
"93","told",0,269,"Narrative Life (1845)",0.133828996282528
"94","well",0,263,"Life and Times (1881)",0.847908745247148
"95","well",0,263,"My Bondage (1855)",-0.0760456273764259
"96","well",0,263,"Narrative Life (1845)",-0.0760456273764259
"97","baltimore",0,261,"Life and Times (1881)",0.398467432950192
"98","baltimore",0,261,"My Bondage (1855)",0.432950191570881
"99","baltimore",0,261,"Narrative Life (1845)",0.168582375478927
"100","children",0,255,"Life and Times (1881)",0.341176470588235
"101","children",0,255,"My Bondage (1855)",0.482352941176471
"102","children",0,255,"Narrative Life (1845)",0.113725490196078
"103","much",0,254,"Life and Times (1881)",0.850393700787402
"104","much",0,254,"My Bondage (1855)",-0.0748031496062992
"105","much",0,254,"Narrative Life (1845)",-0.0748031496062992
"106","hands",0,252,"Life and Times (1881)",0.444444444444444
"107","hands",0,252,"My Bondage (1855)",0.357142857142857
"108","hands",0,252,"Narrative Life (1845)",0.150793650793651
"109","called",0,250,"Life and Times (1881)",0.408
"110","called",0,250,"My Bondage (1855)",0.24
"111","called",0,250,"Narrative Life (1845)",0.08
"112","american",0,239,"Life and Times (1881)",0.506276150627615
"113","american",0,239,"My Bondage (1855)",0.372384937238494
"114","american",0,239,"Narrative Life (1845)",0.00418410041841004
"115","first",0,228,"Life and Times (1881)",0.912280701754386
"116","first",0,228,"My Bondage (1855)",-0.043859649122807
"117","first",0,228,"Narrative Life (1845)",-0.043859649122807
"118","slaveholders",0,228,"Life and Times (1881)",0.328947368421053
"119","slaveholders",0,228,"My Bondage (1855)",0.526315789473684
"120","slaveholders",0,228,"Narrative Life (1845)",0.12719298245614
"121","south",0,228,"Life and Times (1881)",0.649122807017544
"122","south",0,228,"My Bondage (1855)",0.263157894736842
"123","south",0,228,"Narrative Life (1845)",0.0526315789473684
"124","states",0,226,"Life and Times (1881)",1
"125","states",0,226,"My Bondage (1855)",0
"126","states",0,226,"Narrative Life (1845)",0
"127","little",0,225,"Life and Times (1881)",0.875555555555556
"128","little",0,225,"My Bondage (1855)",-0.0622222222222222
"129","little",0,225,"Narrative Life (1845)",-0.0622222222222222
"130","hand",0,224,"Life and Times (1881)",0.450892857142857
"131","hand",0,224,"My Bondage (1855)",0.379464285714286
"132","hand",0,224,"Narrative Life (1845)",0.0982142857142857
"133","freedom",0,215,"Life and Times (1881)",0.47906976744186
"134","freedom",0,215,"My Bondage (1855)",0.358139534883721
"135","freedom",0,215,"Narrative Life (1845)",0.125581395348837
"136","many",0,215,"Life and Times (1881)",0.823255813953488
"137","many",0,215,"My Bondage (1855)",-0.0883720930232558
"138","many",0,215,"Narrative Life (1845)",-0.0883720930232558
"139","condition",0,213,"Life and Times (1881)",0.492957746478873
"140","condition",0,213,"My Bondage (1855)",0.370892018779343
"141","condition",0,213,"Narrative Life (1845)",0.117370892018779
"142","good",0,212,"Life and Times (1881)",0.877358490566038
"143","good",0,212,"My Bondage (1855)",-0.0613207547169811
"144","good",0,212,"Narrative Life (1845)",-0.0613207547169811
"145","left",0,211,"Life and Times (1881)",0.445497630331754
"146","left",0,211,"My Bondage (1855)",0.327014218009479
"147","left",0,211,"Narrative Life (1845)",0.18957345971564
"148","thomas",0,209,"Life and Times (1881)",0.483253588516746
"149","thomas",0,209,"My Bondage (1855)",0.401913875598086
"150","thomas",0,209,"Narrative Life (1845)",0.0956937799043062
"151","work",0,209,"Life and Times (1881)",0.942583732057416
"152","work",0,209,"My Bondage (1855)",-0.0287081339712919
"153","work",0,209,"Narrative Life (1845)",-0.0287081339712919
"154","united",0,204,"Life and Times (1881)",0.715686274509804
"155","united",0,204,"My Bondage (1855)",0.264705882352941
"156","united",0,204,"Narrative Life (1845)",0.0196078431372549
"157","every",0,201,"Life and Times (1881)",0.970149253731343
"158","every",0,201,"My Bondage (1855)",-0.0149253731343284
"159","every",0,201,"Narrative Life (1845)",-0.0149253731343284
"160","liberty",0,201,"Life and Times (1881)",0.527363184079602
"161","liberty",0,201,"My Bondage (1855)",0.407960199004975
"162","liberty",0,201,"Narrative Life (1845)",0.0646766169154229
"163","human",0,200,"Life and Times (1881)",0.415
"164","human",0,200,"My Bondage (1855)",0.46
"165","human",0,200,"Narrative Life (1845)",0.045
"166","north",0,200,"Life and Times (1881)",0.645
"167","north",0,200,"My Bondage (1855)",0.25
"168","north",0,200,"Narrative Life (1845)",0.105
"169","years",0,200,"Life and Times (1881)",0.81
"170","years",0,200,"My Bondage (1855)",-0.095
"171","years",0,200,"Narrative Life (1845)",-0.095
"172","never",0,198,"Life and Times (1881)",0.94949494949495
"173","never",0,198,"My Bondage (1855)",-0.0252525252525253
"174","never",0,198,"Narrative Life (1845)",-0.0252525252525253
"175","world",0,198,"Life and Times (1881)",0.46969696969697
"176","world",0,198,"My Bondage (1855)",0.338383838383838
"177","world",0,198,"Narrative Life (1845)",-0.0101010101010101
"178","can",0,197,"Life and Times (1881)",0.928934010152284
"179","can",0,197,"My Bondage (1855)",-0.0355329949238579
"180","can",0,197,"Narrative Life (1845)",-0.0355329949238579
"181","heart",0,197,"Life and Times (1881)",0.411167512690355
"182","heart",0,197,"My Bondage (1855)",0.441624365482233
"183","heart",0,197,"Narrative Life (1845)",0.126903553299492
"184","may",0,197,"Life and Times (1881)",0.82741116751269
"185","may",0,197,"My Bondage (1855)",-0.0862944162436548
"186","may",0,197,"Narrative Life (1845)",-0.0862944162436548
"187","must",0,197,"Life and Times (1881)",0.847715736040609
"188","must",0,197,"My Bondage (1855)",-0.0761421319796954
"189","must",0,197,"Narrative Life (1845)",-0.0761421319796954
"190","might",0,195,"Life and Times (1881)",0.97948717948718
"191","might",0,195,"My Bondage (1855)",-0.0102564102564103
"192","might",0,195,"Narrative Life (1845)",-0.0102564102564103
"193","without",0,195,"Life and Times (1881)",0.887179487179487
"194","without",0,195,"My Bondage (1855)",-0.0564102564102564
"195","without",0,195,"Narrative Life (1845)",-0.0564102564102564
"196","mind",0,189,"Life and Times (1881)",0.439153439153439
"197","mind",0,189,"My Bondage (1855)",0.386243386243386
"198","mind",0,189,"Narrative Life (1845)",0.0899470899470899
"199","thought",0,187,"Life and Times (1881)",0.925133689839572
"200","thought",0,187,"My Bondage (1855)",-0.0374331550802139
"201","thought",0,187,"Narrative Life (1845)",-0.0374331550802139
"202","came",0,186,"Life and Times (1881)",0.913978494623656
"203","came",0,186,"My Bondage (1855)",-0.043010752688172
"204","came",0,186,"Narrative Life (1845)",-0.043010752688172
"205","saw",0,184,"Life and Times (1881)",0.684782608695652
"206","saw",0,184,"My Bondage (1855)",-0.157608695652174
"207","saw",0,184,"Narrative Life (1845)",-0.157608695652174
"208","chapter",0,182,"Life and Times (1881)",0.521978021978022
"209","chapter",0,182,"My Bondage (1855)",0.351648351648352
"210","chapter",0,182,"Narrative Life (1845)",0.126373626373626
"211","way",0,182,"Life and Times (1881)",0.813186813186813
"212","way",0,182,"My Bondage (1855)",-0.0934065934065934
"213","way",0,182,"Narrative Life (1845)",-0.0934065934065934
"214","escape",0,181,"Life and Times (1881)",0.447513812154696
"215","escape",0,181,"My Bondage (1855)",0.403314917127072
"216","escape",0,181,"Narrative Life (1845)",0.12707182320442
"217","night",0,181,"Life and Times (1881)",0.425414364640884
"218","night",0,181,"My Bondage (1855)",0.298342541436464
"219","night",0,181,"Narrative Life (1845)",0.0994475138121547
"220","plantation",0,181,"Life and Times (1881)",0.265193370165746
"221","plantation",0,181,"My Bondage (1855)",0.535911602209945
"222","plantation",0,181,"Narrative Life (1845)",0.198895027624309
"223","john",0,179,"Life and Times (1881)",0.731843575418994
"224","john",0,179,"My Bondage (1855)",0.111731843575419
"225","john",0,179,"Narrative Life (1845)",0.0446927374301676
"226","like",0,179,"Life and Times (1881)",0.810055865921788
"227","like",0,179,"My Bondage (1855)",-0.0949720670391061
"228","like",0,179,"Narrative Life (1845)",-0.0949720670391061
"229","god",0,178,"Life and Times (1881)",0.275280898876405
"230","god",0,178,"My Bondage (1855)",0.48314606741573
"231","god",0,178,"Narrative Life (1845)",0.106741573033708
"232","place",0,177,"Life and Times (1881)",0.875706214689266
"233","place",0,177,"My Bondage (1855)",-0.0621468926553672
"234","place",0,177,"Narrative Life (1845)",-0.0621468926553672
"235","character",0,175,"Life and Times (1881)",0.462857142857143
"236","character",0,175,"My Bondage (1855)",0.411428571428571
"237","character",0,175,"Narrative Life (1845)",0.08
"238","read",0,174,"Life and Times (1881)",0.402298850574713
"239","read",0,174,"My Bondage (1855)",0.35632183908046
"240","read",0,174,"Narrative Life (1845)",0.172413793103448
"241","public",0,173,"Life and Times (1881)",0.520231213872832
"242","public",0,173,"My Bondage (1855)",0.439306358381503
"243","public",0,173,"Narrative Life (1845)",0.0404624277456647
"244","state",0,173,"Life and Times (1881)",0.988439306358382
"245","state",0,173,"My Bondage (1855)",-0.00578034682080925
"246","state",0,173,"Narrative Life (1845)",-0.00578034682080925
"247","blood",0,172,"Life and Times (1881)",0.348837209302326
"248","blood",0,172,"My Bondage (1855)",0.430232558139535
"249","blood",0,172,"Narrative Life (1845)",0.197674418604651
"250","city",0,172,"Life and Times (1881)",0.38953488372093
"251","city",0,172,"My Bondage (1855)",0.0523255813953488
"252","city",0,172,"Narrative Life (1845)",-0.0930232558139535
"253","spirit",0,172,"Life and Times (1881)",0.488372093023256
"254","spirit",0,172,"My Bondage (1855)",0.395348837209302
"255","spirit",0,172,"Narrative Life (1845)",0.0930232558139535
"256","law",0,170,"Life and Times (1881)",0.517647058823529
"257","law",0,170,"My Bondage (1855)",0.388235294117647
"258","law",0,170,"Narrative Life (1845)",0.0941176470588235
"259","say",0,170,"Life and Times (1881)",0.929411764705882
"260","say",0,170,"My Bondage (1855)",-0.0352941176470588
"261","say",0,170,"Narrative Life (1845)",-0.0352941176470588
"262","brought",0,169,"Life and Times (1881)",0.50887573964497
"263","brought",0,169,"My Bondage (1855)",0.301775147928994
"264","brought",0,169,"Narrative Life (1845)",0.0473372781065089
"265","long",0,169,"Life and Times (1881)",0.846153846153846
"266","long",0,169,"My Bondage (1855)",-0.0769230769230769
"267","long",0,169,"Narrative Life (1845)",-0.0769230769230769
"268","make",0,166,"Life and Times (1881)",0.939759036144578
"269","make",0,166,"My Bondage (1855)",-0.0301204819277108
"270","make",0,166,"Narrative Life (1845)",-0.0301204819277108
"271","means",0,165,"Life and Times (1881)",0.521212121212121
"272","means",0,165,"My Bondage (1855)",0.36969696969697
"273","means",0,165,"Narrative Life (1845)",0.109090909090909
"274","two",0,165,"Life and Times (1881)",0.745454545454545
"275","two",0,165,"My Bondage (1855)",-0.127272727272727
"276","two",0,165,"Narrative Life (1845)",-0.127272727272727
"277","among",0,164,"Life and Times (1881)",0.914634146341463
"278","among",0,164,"My Bondage (1855)",-0.0426829268292683
"279","among",0,164,"Narrative Life (1845)",-0.0426829268292683
"280","head",0,162,"Life and Times (1881)",0.407407407407407
"281","head",0,162,"My Bondage (1855)",0.339506172839506
"282","head",0,162,"Narrative Life (1845)",0.104938271604938
"283","poor",0,162,"Life and Times (1881)",0.41358024691358
"284","poor",0,162,"My Bondage (1855)",0.444444444444444
"285","poor",0,162,"Narrative Life (1845)",0.141975308641975
"286","see",0,161,"Life and Times (1881)",0.614906832298137
"287","see",0,161,"My Bondage (1855)",-0.192546583850932
"288","see",0,161,"Narrative Life (1845)",-0.192546583850932
"289","words",0,161,"Life and Times (1881)",0.484472049689441
"290","words",0,161,"My Bondage (1855)",0.354037267080745
"291","words",0,161,"Narrative Life (1845)",0.111801242236025
"292","part",0,160,"Life and Times (1881)",0.8875
"293","part",0,160,"My Bondage (1855)",-0.05625
"294","part",0,160,"Narrative Life (1845)",-0.05625
"295","morning",0,158,"Life and Times (1881)",0.240506329113924
"296","morning",0,158,"My Bondage (1855)",0.170886075949367
"297","morning",0,158,"Narrative Life (1845)",0.00632911392405063
"298","nature",0,158,"Life and Times (1881)",0.436708860759494
"299","nature",0,158,"My Bondage (1855)",0.525316455696203
"300","nature",0,158,"Narrative Life (1845)",0.0379746835443038
"301","slaveholder",0,158,"Life and Times (1881)",0.329113924050633
"302","slaveholder",0,158,"My Bondage (1855)",0.531645569620253
"303","slaveholder",0,158,"Narrative Life (1845)",0.139240506329114
"304","col",0,157,"Life and Times (1881)",0.420382165605096
"305","col",0,157,"My Bondage (1855)",0.579617834394904
"306","col",0,157,"Narrative Life (1845)",0
"307","manner",0,156,"Life and Times (1881)",0.416666666666667
"308","manner",0,156,"My Bondage (1855)",0.371794871794872
"309","manner",0,156,"Narrative Life (1845)",0.032051282051282
"310","hugh",0,155,"Life and Times (1881)",0.419354838709677
"311","hugh",0,155,"My Bondage (1855)",0.464516129032258
"312","hugh",0,155,"Narrative Life (1845)",0.116129032258065
"313","reader",0,152,"Life and Times (1881)",0.375
"314","reader",0,152,"My Bondage (1855)",0.611842105263158
"315","reader",0,152,"Narrative Life (1845)",0.0131578947368421
"316","word",0,152,"Life and Times (1881)",0.513157894736842
"317","word",0,152,"My Bondage (1855)",0.296052631578947
"318","word",0,152,"Narrative Life (1845)",0.111842105263158
"319","auld",0,151,"Life and Times (1881)",0.463576158940397
"320","auld",0,151,"My Bondage (1855)",0.443708609271523
"321","auld",0,151,"Narrative Life (1845)",0.0927152317880795
"322","though",0,151,"Life and Times (1881)",0.894039735099338
"323","though",0,151,"My Bondage (1855)",-0.0529801324503311
"324","though",0,151,"Narrative Life (1845)",-0.0529801324503311
"325","days",0,148,"Life and Times (1881)",0.331081081081081
"326","days",0,148,"My Bondage (1855)",0.22972972972973
"327","days",0,148,"Narrative Life (1845)",0.00675675675675676
"328","take",0,148,"Life and Times (1881)",0.972972972972973
"329","take",0,148,"My Bondage (1855)",-0.0135135135135135
"330","take",0,148,"Narrative Life (1845)",-0.0135135135135135
"331","field",0,145,"Life and Times (1881)",0.4
"332","field",0,145,"My Bondage (1855)",0.406896551724138
"333","field",0,145,"Narrative Life (1845)",0.16551724137931
"334","lloyd",0,144,"Life and Times (1881)",0.423611111111111
"335","lloyd",0,144,"My Bondage (1855)",0.430555555555556
"336","lloyd",0,144,"Narrative Life (1845)",0.145833333333333
"337","experience",0,143,"Life and Times (1881)",0.482517482517482
"338","experience",0,143,"My Bondage (1855)",0.454545454545455
"339","experience",0,143,"Narrative Life (1845)",0.0629370629370629
"340","hope",0,143,"Life and Times (1881)",0.517482517482518
"341","hope",0,143,"My Bondage (1855)",0.314685314685315
"342","hope",0,143,"Narrative Life (1845)",0.111888111888112
"343","death",0,142,"Life and Times (1881)",0.387323943661972
"344","death",0,142,"My Bondage (1855)",0.302816901408451
"345","death",0,142,"Narrative Life (1845)",0.197183098591549
"346","black",0,141,"Life and Times (1881)",0.524822695035461
"347","black",0,141,"My Bondage (1855)",0.411347517730496
"348","black",0,141,"Narrative Life (1845)",0.0638297872340425
"349","come",0,141,"Life and Times (1881)",0.943262411347518
"350","come",0,141,"My Bondage (1855)",-0.0283687943262411
"351","come",0,141,"Narrative Life (1845)",-0.0283687943262411
"352","right",0,140,"Life and Times (1881)",0.971428571428571
"353","right",0,140,"My Bondage (1855)",-0.0142857142857143
"354","right",0,140,"Narrative Life (1845)",-0.0142857142857143
"355","england",0,139,"Life and Times (1881)",0.575539568345324
"356","england",0,139,"My Bondage (1855)",0.273381294964029
"357","england",0,139,"Narrative Life (1845)",-0.0215827338129496
"358","church",0,138,"Life and Times (1881)",0.27536231884058
"359","church",0,138,"My Bondage (1855)",0.340579710144928
"360","church",0,138,"Narrative Life (1845)",-0.0217391304347826
"361","class",0,138,"Life and Times (1881)",0.63768115942029
"362","class",0,138,"My Bondage (1855)",0.260869565217391
"363","class",0,138,"Narrative Life (1845)",0.072463768115942
"364","friend",0,138,"Life and Times (1881)",0.572463768115942
"365","friend",0,138,"My Bondage (1855)",0.253623188405797
"366","friend",0,138,"Narrative Life (1845)",0
"367","ever",0,137,"Life and Times (1881)",0.927007299270073
"368","ever",0,137,"My Bondage (1855)",-0.0364963503649635
"369","ever",0,137,"Narrative Life (1845)",-0.0364963503649635
"370","heard",0,137,"Life and Times (1881)",0.445255474452555
"371","heard",0,137,"My Bondage (1855)",0.357664233576642
"372","heard",0,137,"Narrative Life (1845)",0.0802919708029197
"373","mrs",0,137,"Life and Times (1881)",0.591240875912409
"374","mrs",0,137,"My Bondage (1855)",-0.204379562043796
"375","mrs",0,137,"Narrative Life (1845)",-0.204379562043796
"376","war",0,136,"Life and Times (1881)",0.86764705882353
"377","war",0,136,"My Bondage (1855)",0.0808823529411765
"378","war",0,136,"Narrative Life (1845)",0.0220588235294118
"379","went",0,136,"Life and Times (1881)",0.661764705882353
"380","went",0,136,"My Bondage (1855)",-0.169117647058824
"381","went",0,136,"Narrative Life (1845)",-0.169117647058824
"382","family",0,135,"Life and Times (1881)",0.437037037037037
"383","family",0,135,"My Bondage (1855)",0.437037037037037
"384","family",0,135,"Narrative Life (1845)",0.0666666666666667
"385","matter",0,135,"Life and Times (1881)",0.362962962962963
"386","matter",0,135,"My Bondage (1855)",0.481481481481481
"387","matter",0,135,"Narrative Life (1845)",0.155555555555556
"388","feeling",0,134,"Life and Times (1881)",0.604477611940298
"389","feeling",0,134,"My Bondage (1855)",0.276119402985075
"390","feeling",0,134,"Narrative Life (1845)",0.0895522388059701
"391","henry",0,134,"Life and Times (1881)",0.447761194029851
"392","henry",0,134,"My Bondage (1855)",0.291044776119403
"393","henry",0,134,"Narrative Life (1845)",0.141791044776119
"394","hard",0,133,"Life and Times (1881)",0.383458646616541
"395","hard",0,133,"My Bondage (1855)",0.345864661654135
"396","hard",0,133,"Narrative Life (1845)",0.0902255639097744
"397","met",0,133,"Life and Times (1881)",0.496240601503759
"398","met",0,133,"My Bondage (1855)",0.293233082706767
"399","met",0,133,"Narrative Life (1845)",0.0601503759398496
"400","felt",0,132,"Life and Times (1881)",0.984848484848485
"401","felt",0,132,"My Bondage (1855)",-0.00757575757575758
"402","felt",0,132,"Narrative Life (1845)",-0.00757575757575758
"403","times",0,132,"Life and Times (1881)",0.484848484848485
"404","times",0,132,"My Bondage (1855)",0.287878787878788
"405","times",0,132,"Narrative Life (1845)",0.136363636363636
"406","antislavery",0,131,"Life and Times (1881)",0.984732824427481
"407","antislavery",0,131,"My Bondage (1855)",0.0152671755725191
"408","antislavery",0,131,"Narrative Life (1845)",0
"409","done",0,131,"Life and Times (1881)",0.938931297709924
"410","done",0,131,"My Bondage (1855)",-0.0305343511450382
"411","done",0,131,"Narrative Life (1845)",-0.0305343511450382
"412","held",0,131,"Life and Times (1881)",0.595419847328244
"413","held",0,131,"My Bondage (1855)",0.297709923664122
"414","held",0,131,"Narrative Life (1845)",0.0763358778625954
"415","question",0,130,"Life and Times (1881)",0.630769230769231
"416","question",0,130,"My Bondage (1855)",0.346153846153846
"417","question",0,130,"Narrative Life (1845)",0.0230769230769231
"418","true",0,130,"Life and Times (1881)",0.592307692307692
"419","true",0,130,"My Bondage (1855)",0.315384615384615
"420","true",0,130,"Narrative Life (1845)",0.0615384615384615
"421","money",0,129,"Life and Times (1881)",0.542635658914729
"422","money",0,129,"My Bondage (1855)",0.302325581395349
"423","money",0,129,"Narrative Life (1845)",0.124031007751938
"424","union",0,129,"Life and Times (1881)",0.674418604651163
"425","union",0,129,"My Bondage (1855)",0.193798449612403
"426","union",0,129,"Narrative Life (1845)",0.131782945736434
"427","land",0,128,"Life and Times (1881)",0.3671875
"428","land",0,128,"My Bondage (1855)",0.3359375
"429","land",0,128,"Narrative Life (1845)",0.046875
"430","moment",0,128,"Life and Times (1881)",0.4765625
"431","moment",0,128,"My Bondage (1855)",0.359375
"432","moment",0,128,"Narrative Life (1845)",0.1328125
"433","negro",0,127,"Life and Times (1881)",0.700787401574803
"434","negro",0,127,"My Bondage (1855)",0.267716535433071
"435","negro",0,127,"Narrative Life (1845)",0.031496062992126
"436","cause",0,126,"Life and Times (1881)",0.984126984126984
"437","cause",0,126,"My Bondage (1855)",-0.00793650793650794
"438","cause",0,126,"Narrative Life (1845)",-0.00793650793650794
"439","mother",0,125,"Life and Times (1881)",0.296
"440","mother",0,125,"My Bondage (1855)",0.488
"441","mother",0,125,"Narrative Life (1845)",0.088
"442","sense",0,125,"Life and Times (1881)",0.512
"443","sense",0,125,"My Bondage (1855)",0.344
"444","sense",0,125,"Narrative Life (1845)",0.048
"445","soon",0,123,"Life and Times (1881)",0.821138211382114
"446","soon",0,123,"My Bondage (1855)",-0.0894308943089431
"447","soon",0,123,"Narrative Life (1845)",-0.0894308943089431
"448","view",0,123,"Life and Times (1881)",0.317073170731707
"449","view",0,123,"My Bondage (1855)",0.300813008130081
"450","view",0,123,"Narrative Life (1845)",-0.0731707317073171
"451","douglass",0,122,"Life and Times (1881)",0.516393442622951
"452","douglass",0,122,"My Bondage (1855)",0.368852459016393
"453","douglass",0,122,"Narrative Life (1845)",0.0819672131147541
"454","government",0,122,"Life and Times (1881)",0.786885245901639
"455","government",0,122,"My Bondage (1855)",0.163934426229508
"456","government",0,122,"Narrative Life (1845)",0.0163934426229508
"457","party",0,122,"Life and Times (1881)",0.622950819672131
"458","party",0,122,"My Bondage (1855)",0.327868852459016
"459","party",0,122,"Narrative Life (1845)",-0.0163934426229508
"460","president",0,122,"Life and Times (1881)",0.959016393442623
"461","president",0,122,"My Bondage (1855)",0.0327868852459016
"462","president",0,122,"Narrative Life (1845)",0.00819672131147541
"463","yet",0,122,"Life and Times (1881)",0.786885245901639
"464","yet",0,122,"My Bondage (1855)",-0.10655737704918
"465","yet",0,122,"Narrative Life (1845)",-0.10655737704918
"466","even",0,121,"Life and Times (1881)",0.900826446280992
"467","even",0,121,"My Bondage (1855)",-0.0495867768595041
"468","even",0,121,"Narrative Life (1845)",-0.0495867768595041
"469","hold",0,121,"Life and Times (1881)",0.462809917355372
"470","hold",0,121,"My Bondage (1855)",0.347107438016529
"471","hold",0,121,"Narrative Life (1845)",0.190082644628099
"472","know",0,121,"Life and Times (1881)",0.917355371900826
"473","know",0,121,"My Bondage (1855)",-0.0413223140495868
"474","know",0,121,"Narrative Life (1845)",-0.0413223140495868
"475","meeting",0,121,"Life and Times (1881)",0.570247933884298
"476","meeting",0,121,"My Bondage (1855)",0.256198347107438
"477","meeting",0,121,"Narrative Life (1845)",0.0743801652892562
"478","shall",0,121,"Life and Times (1881)",0.834710743801653
"479","shall",0,121,"My Bondage (1855)",-0.0826446280991736
"480","shall",0,121,"Narrative Life (1845)",-0.0826446280991736
